EthnologueLanguageID,EthnologueCountryID,EthnologueLangStatusID,Name
mwn,ZM,L,Nyamwanga
mwo,VU,L,"Maewo, Central"
mwp,AU,L,Kala Lagaw Ya
mwq,MM,L,"Chin, Mün"
mwr,IN,L,Marwari
mws,KE,L,Mwimbi-Muthambi
mwt,MM,L,Moken
mwu,SD,E,Mittu
mwv,ID,L,Mentawai
mww,CN,L,Hmong Daw
mwx,TZ,L,Mediak
mwy,TZ,L,Mosiro
mwz,CD,L,Moingi
mxa,MX,L,"Mixtec, Northwest Oaxaca"
mxb,MX,L,"Mixtec, Tezoatlán"
mxc,ZW,L,Manyika
mxd,ID,L,Modang
mxe,VU,L,Mele-Fila
mxf,CM,L,Malgbe
mxg,AO,L,Mbangala
mxh,CD,L,Mvuba
mxi,ES,E,Mozarabic
mxj,IN,L,Miju-Mishmi
mxk,PG,L,Monumbo
mxl,BJ,L,"Gbe, Maxi"
mxm,PG,L,Meramera
mxn,ID,L,Moi
mxo,ZM,L,Mbowe
mxp,MX,L,"Mixe, Tlahuitoltepec"
mxq,MX,L,"Mixe, Juquila"
mxr,MY,L,"Kayan, Murik"
mxs,MX,L,"Mixtec, Huitepec"
mxt,MX,L,"Mixtec, Jamiltepec"
mxu,CM,L,Mada
mxv,MX,L,"Mixtec, Metlatónoc"
mxw,PG,L,Namo
mxx,CI,L,Mahou
mxy,MX,L,"Mixtec, Southeastern Nochixtlán"
mxz,ID,L,"Masela, Central"
mya,MM,L,Burmese
myb,TD,L,Mbay
myc,CD,L,Mayeka
myd,PG,L,Maramba
mye,GA,L,Myene
myf,ET,L,Bambassi
myg,CM,L,Manta
myh,US,E,Makah
myi,IN,L,Mina
myj,SD,L,Mangayat
myk,ML,L,"Senoufo, Mamara"
myl,ID,L,Moma
mym,ET,L,Me'en
myo,ET,L,Anfillo
myp,BR,L,Pirahã
myq,CI,L,"Maninka, Forest"
myr,PE,N,Muniche
mys,ET,E,Mesmes
myt,PH,L,"Mandaya, Sangab"
myu,BR,L,Mundurukú
myv,RU,L,Erzya
myw,PG,L,Muyuw
myx,UG,L,Masaba
myy,CO,L,Macuna
myz,IR,E,"Mandaic, Classical"
mza,MX,L,"Mixtec, Santa María Zacatepec"
mzb,DZ,L,Tumzabt
mzc,MG,L,Madagascar Sign Language
mzd,CM,L,Malimba
mze,PG,L,Morawa
mzf,PG,L,Aiku
mzg,VA,S,Monastic Sign Language
mzh,AR,L,Wichí Lhamtés Güisnay
mzi,MX,L,"Mazatec, Ixcatlán"
mzj,LR,L,Manya
mzk,NG,L,"Mambila, Nigeria"
mzl,MX,L,"Mixe, Mazatlán"
mzm,NG,L,Mumuye
mzn,IR,L,Mazanderani
mzo,BR,L,Matipuhy
mzp,BO,L,Movima
mzq,ID,L,Mori Atas
mzr,BR,L,Marúbo
mzs,CN,L,Macanese
mzt,MY,L,Mintil
mzu,PG,L,Inapang
mzv,CF,L,Manza
mzw,GH,L,Deg
mzx,GY,N,Mawayana
mzy,MZ,L,Mozambican Sign Language
mzz,PG,L,Maiadomu
nab,BR,L,"Nambikuára, Southern"
nac,PG,L,Narak
nad,AU,N,Nijadali
nae,ID,N,Naka'ela
naf,PG,L,Nabak
